id,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC,F1parent
20_76,48,4.75,1,0,-,-,43.9666666666667,27.5,-2.83333333333333,29.3333333333333,7.2,54.0666666666667,26.7666666666667,4.7,51.2333333333333,9.6,7.06666666666667,2.63333333333333,2.93333333333333,37.2,27.35,31.875,0.625,62
19_642,44.3333333333333,4.34333333333333,1,0,13.2,0,43.4333333333333,28.5833333333333,-0.716666666666667,18.3333333333333,5.7,51.6666666666667,20.4166666666667,9.16666666666667,50.9333333333333,8.88333333333333,6.06666666666667,2.66666666666667,3.01666666666667,36.7666666666667,31.1955555555556,31.3888888888889,2.75,62
20_77,22.5,4.875,1,0,0,0,42.5,25.5333333333333,-0.666666666666667,29.6666666666667,6.83333333333333,49.3666666666667,25.7,7.46666666666667,48.7,9.26666666666667,6.13333333333333,3.13333333333333,2.16666666666667,38.8,27.2583333333333,25.4166666666667,3.73333333333333,62
20_84,55.25,4.65,-,1,-,-,44.5,25.6,-3.3,13,4.5,53.3,20.9,6.5,50,8.9,6,2.1,3.3,39.8,33.672,30,0.85,62
20_85,20,3.63,1,0,-,-,37.45,23.65,-0.125,18,6.775,46.475,24.425,7.2,46.35,9.45,6.425,2.625,2.2,37.55,33.95,25,2,62
20_87,82.5,4.9125,1,1,-,-,48.775,28.975,-2.85,9.5,6.9,54.575,27.05,4.65,51.725,10.425,7.125,3.45,3.425,43.4,54.608,34,9.08,62
20_88,61.25,4.525,-,1,-,-,42.7,27.9666666666667,-0.466666666666667,19,7.5,49.9333333333333,25.0333333333333,6.4,49.4666666666667,8.9,6.7,2.3,2.66666666666667,40.4666666666667,46.0671428571429,30.4285714285714,1.74285714285714,62
20_93,34.75,4.11875,1,1,2.1,0.4535,43.58,28.24,-2.48,18.4,5.84,49.42,20.18,8.48,46.94,8.28,6.36,2.86,2.46,36.8,31.586,29.5,2.64,62
20_94,78.6666666666667,5.10666666666667,1,1,-,-,45.4333333333333,27.7666666666667,-1.83333333333333,11.6666666666667,6.2,51.3,26.0666666666667,6.56666666666667,49.4666666666667,9.26666666666667,6.23333333333333,2.3,2.96666666666667,42.5666666666667,50.018,27.1,1.64,62
20_95,93,5.69,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0775,20,4.4,62
19_644,43.75,6.15,0,0,5.3,0.133333333333333,43.775,29.675,-1.575,18.5,6.675,53.925,18.975,5.2,52.35,6.6,6.65,2.875,2.8,35.3,26.3125,35.125,0.375,62
20_101,39.5,5.75,1,1,30.4333333333333,4,44.025,28.625,-1.6,24.75,5.75,51.375,23.575,4.8,49.775,7.2,7.85,2.6,2.6,36.525,26.91,30.375,0.5,62
20_104,105,5.89,1,1,-,-,47,32.35,-2.1,20,7.9,54,30.25,6.4,51.9,10.05,7.05,2.3,3.4,41.45,44.496,32,4.36,62
20_106,110,4.92,1,1,-,-,51.7,32.35,-2.675,10.75,7.25,59.475,28.525,7.1,56.8,11.1,8.45,3.2,3.45,47.05,-,-,-,62
19_645,39.5,7.075,0,1,11.1,2.9,45.925,29.9,-1.525,18.75,4.975,53.25,19.725,5.575,51.725,7.1,6.675,2.575,2.95,38.7,35.6425,32.5,1.25,62
20_107,17,5.67,1,1,-,-,43.9333333333333,27.3,-4.5,13,6.2,52.8,24.3,7.06666666666667,48.3,10.1666666666667,7.23333333333333,2.53333333333333,3,37.6,32.06,30,3.2,62
20_112,40.75,5.2275,1,1,1.75,1.65,38.825,22.65,-0.85,27.5,6.65,48.45,23.225,7.025,47.6,9.15,6.725,2.85,2.425,37.75,39.545,34.4166666666667,6.33333333333333,62
20_114,52.5,4.41,1,0,-,-,40.6,24.08,-0.2,13.4,6.24,46.28,19.06,7.44,46.08,7.64,5.36,2.58,2.46,39.64,24.6,20.9,2.82,62
20_121,33.5,4.35,-,1,81.5,16.1,45.45,28.45,-2.85,21.5,6.1,53.4,28.4,4.8,50.55,9.25,7.8,2.5,3.4,35.05,56.71,32.375,1.1875,62
19_647,113,3.57,0,0,-,-,49.2,31.88,-5.04,12.8,6.9,57.12,26.74,5.2,52.08,9.98,8.14,3.16,3.08,44.36,70.498,35,0.88,62
20_127,62.5,5.09,1,1,113.3,6.6,48.66,31.34,-4.04,22.2,7.38,57.58,29.16,6.74,53.54,10.14,6.66,3.08,2.66,44.3,13.4475,23.5,3.55,62
