#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chrom2	70400000	70500000	0.597270	0.402730	30113	21201	19072	29614	0	0	100000
Chrom2	70500000	70600000	0.608500	0.391500	29639	18369	20781	31211	0	0	100000
Chrom2	70600000	70700000	0.579220	0.420780	29143	21277	20801	28779	0	0	100000
Chrom2	70700000	70800000	0.602690	0.397310	29584	19647	20084	30685	0	0	100000
Chrom2	70800000	70900000	0.591610	0.408390	29717	21209	19630	29444	0	0	100000
Chrom2	70900000	71000000	0.575920	0.424080	28532	20749	21659	29060	0	0	100000
Chrom2	71000000	71100000	0.578560	0.421440	29501	22313	19831	28355	0	0	100000
Chrom2	71100000	71200000	0.602000	0.398000	29858	19234	20566	30342	0	0	100000
Chrom2	71200000	71300000	0.603260	0.396740	30573	20476	19198	29753	0	0	100000
Chrom2	71300000	71400000	0.597550	0.402450	29342	19600	20645	30413	0	0	100000
Chrom2	71400000	71500000	0.599790	0.400210	29495	19617	20404	30484	0	0	100000
Chrom2	71500000	71600000	0.584410	0.415590	28745	19731	21828	29696	0	0	100000
Chrom2	71600000	71700000	0.587820	0.412180	28459	19974	21244	30323	0	0	100000
Chrom2	71700000	71800000	0.597190	0.402810	28897	19043	21238	30822	0	0	100000
Chrom2	71800000	71900000	0.593680	0.406320	29966	20701	19931	29402	0	0	100000
Chrom2	71900000	72000000	0.610850	0.389150	30559	19612	19303	30526	0	0	100000
Chrom2	72000000	72100000	0.607430	0.392570	30438	20270	18987	30305	0	0	100000
Chrom2	72100000	72200000	0.585580	0.414420	29386	20986	20456	29172	0	0	100000
Chrom2	72200000	72300000	0.613300	0.386700	30291	19584	19086	31039	0	0	100000
Chrom2	72300000	72400000	0.598140	0.401860	29205	18509	21677	30609	0	0	100000
Chrom2	72400000	72500000	0.609310	0.390690	30160	18833	20236	30771	0	0	100000
Chrom2	72500000	72600000	0.595480	0.404520	29422	20089	20363	30126	0	0	100000
Chrom2	72600000	72700000	0.610400	0.389600	30475	18904	20056	30565	0	0	100000
Chrom2	72700000	72800000	0.623430	0.376570	31100	18463	19194	31243	0	0	100000
Chrom2	72800000	72900000	0.589990	0.410010	29930	20365	20636	29069	0	0	100000
Chrom2	72900000	73000000	0.584350	0.415650	27778	20490	21075	30657	0	0	100000
Chrom2	73000000	73100000	0.611670	0.388330	29232	18795	20038	31935	0	0	100000
Chrom2	73100000	73200000	0.606900	0.393100	29966	19629	19681	30724	0	0	100000
Chrom2	73200000	73300000	0.593460	0.406540	30304	21148	19506	29042	0	0	100000
Chrom2	73300000	73400000	0.580710	0.419290	29237	21125	20804	28834	0	0	100000
Chrom2	73400000	73500000	0.608250	0.391750	30905	19730	19445	29920	0	0	100000
Chrom2	73500000	73600000	0.577140	0.422860	28293	20070	22216	29421	0	0	100000
Chrom2	73600000	73700000	0.593100	0.406900	29227	20391	20299	30083	0	0	100000
Chrom2	73700000	73800000	0.575750	0.424250	28531	21099	21326	29044	0	0	100000
Chrom2	73800000	73900000	0.604270	0.395730	29948	19904	19669	30479	0	0	100000
Chrom2	73900000	74000000	0.582960	0.417040	29231	20990	20714	29065	0	0	100000
Chrom2	74000000	74100000	0.574870	0.425130	29094	21539	20974	28393	0	0	100000
Chrom2	74100000	74200000	0.580980	0.419020	29206	21627	20275	28892	0	0	100000
Chrom2	74200000	74300000	0.576460	0.423540	28313	20527	21827	29333	0	0	100000
Chrom2	74300000	74400000	0.580980	0.419020	29073	21117	20785	29025	0	0	100000
Chrom2	74400000	74500000	0.596560	0.403440	29771	20376	19968	29885	0	0	100000
Chrom2	74500000	74600000	0.584500	0.415500	29535	20595	20955	28915	0	0	100000
Chrom2	74600000	74700000	0.585440	0.414560	29572	19925	21531	28972	0	0	100000
Chrom2	74700000	74800000	0.565520	0.434480	28752	22969	20479	27800	0	0	100000
Chrom2	74800000	74900000	0.567520	0.432480	28979	22499	20749	27773	0	0	100000
Chrom2	74900000	75000000	0.581560	0.418440	29194	21247	20597	28962	0	0	100000
Chrom2	75000000	75100000	0.557960	0.442040	26961	20160	24044	28835	0	0	100000
Chrom2	75100000	75200000	0.612380	0.387620	30120	18417	20345	31118	0	0	100000
Chrom2	75200000	75300000	0.595590	0.404410	29764	20507	19934	29795	0	0	100000
Chrom2	75300000	75400000	0.622270	0.377730	31558	18912	18861	30669	0	0	100000
Chrom2	75400000	75500000	0.592860	0.407140	28759	19703	21011	30527	0	0	100000
Chrom2	75500000	75600000	0.602030	0.397970	29298	19267	20530	30905	0	0	100000
Chrom2	75600000	75700000	0.598480	0.401520	31199	20950	19202	28649	0	0	100000
Chrom2	75700000	75800000	0.610310	0.389690	29493	19007	19962	31538	0	0	100000
