unique_ID,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC
62_74,43.5,4.85,TRUE,TRUE,38.85,5.65,45.35,30.2,-3.6,23.75,5.825,52.325,27.475,6.8,48.725,9.125,6.9,3,3.175,37.375,18.505,32.375,0
62_75,69.3333333333333,4.28333333333333,TRUE,TRUE,6.05,5.65,46.9,28.725,-3.4,34.5,5.85,55.15,23.5,7.775,51.75,9.225,6.375,2.7,2.925,40.75,17.837,32,0.20099
62_76,34,3.2,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8875,33.5,0.502475
62_77,20,4.8,NA,TRUE,8.05,3.75,42.8,26.375,-1.975,24.75,5.35,51.575,24.325,9.325,49.6,8.95,6.675,2.875,2.8,37.825,12.2075,30.25,1.02185875
62_83,52,5.75,NA,TRUE,27.9333333333333,9.26666666666667,48.975,30.5,-5.2,16.75,6.35,57.6,25.85,NA,52.4,9.925,7.2,3.05,2.725,40,18.635,34.75,1.7988375
62_87,58.5,5.94,TRUE,TRUE,23.2,3.8,43.4333333333333,25.2333333333333,-0.633333333333333,21.6666666666667,6.46666666666667,52.3666666666667,25.8,5.06666666666667,51.7333333333333,8.56666666666667,5.73333333333333,2.76666666666667,2.9,40.3,12.99,31.8,3.288958
62_9,52,4.824,TRUE,TRUE,NA,NA,46.15,29.625,-4.175,22.5,6.625,54.425,22.6,5.35,50.25,8.375,7.3,2.6,3.025,36.05,10.985,32.625,1.2670425
62_91,17,6.4,TRUE,TRUE,16.1,1,46,29.1,-1.5,29,6.9,53.6,18.1,4.7,52.1,7.8,5.6,3.5,2.9,39.6,NA,NA,NA
62_92,46,5.925,FALSE,TRUE,23.4,5.1,42.875,24.85,-2.275,19.75,6.4,53.275,20.375,6.225,51,8.2,6.95,3.075,2.55,31.4,11.49125,26.5,0
62_94,46.5,6.55,TRUE,TRUE,73.65,4.2,41.675,26.5,-1.825,19.25,3.7,49.8,23.825,5.4,47.975,9.1,6.95,2.875,2.975,37.025,22.1275,29.75,1.531355
