gel-well#,plate#,well#,PlantID,LabID,Concentration in plate,Qubit ng/uL,260/280,260/230,dilution calculations:,vol.DNA(ul),vol.H20(ul),Gel?,Notes,Qubit redo0,Qubit redo1,Qubit redo2,Dilution,Qbit ng/uL of dilution,NOTES,Nanodrop concentration
,7,E11,165_009_48,22_208,25,24.6,1.8,1.58,,,,,,,,,,,,
,7,F11,165_009_17,22_209,67,66.9,1.83,1.88,,,,,,,,,,,,
,7,G11,165_26E_198,22_210,31,31.4,1.77,1.43,,,,,,,,,,,,
,7,H11,165_009B_35,22_211,33,33.2,1.8,1.6,,,,,,,,,,,,
,7,A12,165_26E_199,22_212,91,91.4,1.86,2.05,,,,,,,,,,,,
,7,B12,165_26E_201,22_213,12,12.2,1.76,1.19,,,,,,,,,,,,
,7,C12,165_009_26,22_214,16,15.8,1.74,1.2,,,,,,,,,,,,
,7,D12,165_26D_192,22_215,11,11.3,1.73,1.07,,,,,,,,,,,,
,7,E12,165_009_79,22_217,53,53,1.81,1.88,,,,,,,,,,,,
,7,F12,165_009B_66,22_218,17,127.7,1.76,1.85,,,,,,,,,1:05,17.2,,
,7,G12,165_009_13,22_221,45,44.9,1.81,1.53,,,,,,,,,,,,
,7,H12,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,,,,,,,,,,,
2-Jan,8,A1,165_009_52,22_222,44,44,1.85,1.76,,,,,,,,,,,fine,
7-Jan,8,B1,165_009_20,22_227,36,35.6,1.86,1.89,,,,,,,,,,,fine,
4-Feb,8,C1,KG82WILSLC,22_234 (2),23.3,-,1.86,2.2,,,,,,,,,,23.3,Costus wilsonii LC,234.1
6-Feb,8,D1,KG62WILSLC,22_235 (2),12,-,1.85,2.05,,,,,,,,,,12,Costus wilsonii LC,141.9
8-Feb,8,E1,KG64WILSLC,22_236 (2),22.7,-,1.86,2.17,,,,,,,,,,22.7,Costus wilsonii LC,229.2
10-Feb,8,F1,KG76WILSLC,22_237 (2),20.5,-,1.87,2.2,,,,,,,,,,20.5,Costus wilsonii LC,238.4
12-Feb,8,G1,KG74WILSLC,22_238 (2),39,-,1.87,2.32,,,,,,,,,,39,Costus wilsonii LC,402.7
14-Feb,8,H1,KG84WILSLC,22_239 (2),24.2,-,1.88,2.34,,,,,,,,,,24.2,Costus wilsonii LC,249.7
16-Feb,8,A2,KG61WILSLC,22_240 (2),9,-,1.82,1.9,,,,,,,,,,9,Costus wilsonii LC,118.7
18-Feb,8,B2,KG69WILSLC,22_241 (2),10.7,-,1.85,2.05,,,,,,,,,,10.7,Costus wilsonii LC,132.4
20-Feb,8,C2,PJ131WILSLA,22_242 (2),16.8,-,1.85,2.09,,,,,,,,,,16.8,Costus wilsonii LA,202.4
21-Feb,8,D2,PJ130WILSLA,22_243(2),13,-,1.91,2.09,,,,,,,,,,13.1,Costus wilsonii LA,196.3
23-Feb,8,E2,KG39WILSLA,22_244 (2),47.4,-,1.95,2.25,,,,,,,,,,47.4,Costus wilsonii LA,357
24-Feb,8,F2,PJ132WILSLA,22_245,85,85,1.91,1.97,,,,,,,,,,,Costus wilsonii LA,
26-Feb,8,G2,KG83WILSLC,22_246 (2),9.06,-,1.84,1.92,,,,,,,,,,9.06,Costus wilsonii LC,114.2
28-Feb,8,H2,PJ114WILSLA,22_247 (2),31.7,-,1.91,2.17,,,,,,,,,,31.7,Costus wilsonii LA,300
Feb-30,8,A3,KG54LA,22_248 (2),29.6,-,1.85,2.2,,,,,,,,,,29.6,Costus wilsonii LA,316.2
Feb-32,8,B3,KG53LA,22_249(2),9,-,1.93,1.97,,,,,,,,,,9.06,Costus wilsonii LA,178.6
Feb-34,8,C3,KG50LA,22_250 (2),10.6,-,1.83,2.01,,,,,,,,,,10.6,Costus wilsonii LA,131.2
Feb-36,8,D3,LA_KG46,22_251 (2),47.3,-,1.88,2.2,,,,,,,,,,47.3,Costus wilsonii LA,507.2
Feb-37,8,E3,KG49LA,22_252 (2),16,-,1.92,2.08,,,,,,,,,,16,Costus wilsonii LA,233.5
Feb-39,8,F3,LA_KG48,22_253 (2),41.5,-,1.88,2.23,,,,,,,,,,41.5,Costus wilsonii LA,468.2
Feb-40,8,G3,KG40LA,22_254 (2),11,-,1.93,2.07,,,,,,,,,,10.6,Costus wilsonii LA,193.2
Feb-42,8,H3,KG59LA,22_255 (2),34.2,-,1.88,2.14,,,,,,,,,,34.2,Costus wilsonii LA,258.7
Feb-44,8,A4,KG52LA,22_256 (2),23.7,-,1.9,2.16,,,,,,,,,,23.7,Costus wilsonii LA,313.8
Feb-46,8,B4,KG58LA,22_257 (2),24,-,1.88,2.26,,,,,,,,,,24,Costus wilsonii LA,274.2
Feb-47,8,C4,KG41LA,22_258 (2),8.95,too high,1.77,1.64,,,,,,,,,,8.95,Costus wilsonii LA,
Feb-48,8,D4,KG? (repeat) (see notes),22_259,49.1,49.1,1.91,1.84,,,,,,,,,,,Costus wilsonii LA,
Feb-50,8,E4,see notes on main sheet,22_260 (2),30.6,-,1.97,2.19,,,,,,,,,,30.6,Costus wilsonii LA,472.3
Feb-52,8,F4,see notes on main sheet,22_261 (2),19.9,-,1.82,1.99,,,,,,,,,,19.9,Costus wilsonii LA,197
Feb-54,8,G4,see notes on main sheet,22_262 (2),10.6,-,1.84,1.91,,,,,,,,,,10.6,Costus wilsonii LA,159.5
Feb-56,8,H4,see notes on main sheet,22_263 (2),31.6,-,1.87,2.12,,,,,,,,,,31.6,Costus laevis,359
2-Mar,8,A5,165_016C_52,22_264,97.3,97.3,1.86,2.01,,,,,,,,,,6.2,fine,
3-Mar,8,B5,165_016_55,22_265( 3),15.66,15.66 x 5,1.8,1.99,,,,,,,,,,15.66,fine,
4-Mar,8,C5,165_025B_34,22_266,18.9,18.9,1.75,1.8,,,,,,,,,,,fine,
5-Mar,8,D5,165_025B_31,22_267,36.5,36.5,1.76,1.79,,,,,,,,,,,fine,
6-Mar,8,E5,165_016_16,22_268 (2),11.7,-,1.82,1.97,,,,,,,,,,11.7,fine,139.6
7-Mar,8,F5,165_025B_53,22_269,51,51,1.81,1.88,,,,,,,,,,,fine,
8-Mar,8,G5,165_016c_49,22_270 (2),13.5,-,1.81,1.89,,,,,,,,,,13.5,fine,111.9
9-Mar,8,H5,165_016c_63,22_271 (2),15.2,-,1.81,1.9,,,,,,,,,,15.2,fine,129.2
27-May,8,A6,165_009_108,23-068,17.6,17.6,1.76,1.57,,,,,,,,,,,fine,
11-Mar,8,B6,165_016c_54,22_273 (2),11.7,-,1.81,1.93,,,,,,,,,,11.7,fine,150
12-Mar,8,C6,165_016c_66,22_274 (2),19.1,19.1 x 5,1.83,1.98,,,,,,,,,,19.1,fine,102.6
13-Mar,8,D6,165_016c_59,22_275 (2),14.6,-,1.82,1.96,,,,,,,,,,14.6,fine,118.7
15-Mar,8,E6,165_025_16,22_277 (2),20.3,20.3 x 5,1.8,1.86,,,,,,,,,,20.3,fine,112.2
16-Mar,8,F6,165_025_28,22_278,92.3,92.3,1.77,1.56,,,,,,,,,,,fine,
17-Mar,8,G6,165_025b_40,22_279 (3),15.56,15.56 x 5,1.8,1.86,,,,,,,,,,15.56,fine,100.9
20-Mar,8,H6,165_016_02,22_282 (3),15.25,15.25 x 5,1.79,1.93,,,,,,,,,,15.25,fine,
21-Mar,8,A7,165_016_07,22_283 (2),16.47,16.47 x10,1.81,1.95,,,,,,,,,,16.47,fine,
22-Mar,8,B7,165_025_04,22_284 (3),27.79,27.79 x 5,1.81,2.1,,,,,,,,,,27.79,fine,
23-Mar,8,C7,165_016B_25,22_285 (2),16.05,16.05 x 10,1.82,2.12,,,,,,,,,,16.05,fine,
24-Mar,8,D7,165_016B_26,22_286 (3),19.96,19.96 x 5,1.83,2.07,,,,,,,,,,19.96,fine,
25-Mar,8,E7,165_016_19,22_287 (2),29.51,29.51 x 10,1.84,2.3,,,,,,,,,,29.51,fine,
26-Mar,8,F7,165_016B_23,22_288 (2),15.09,15.09 x 10,1.82,2.11,,,,,,,,,,15.09,fine,
29-Mar,8,G7,165_025_20,22_291 (2),17.46,17.46 x 10,1.84,2.16,,,,,,,,,,17.46,fine,
30-Mar,8,H7,165_016_11,22_292 (2),16.65,16.65 x 10,1.84,2.18,,,,,,,,,,16.65,fine,
May-56,8,A8,165_009B_110,23-096,16.3,16.3,1.72,1.39,,,,,,,,,,,fine,
Mar-32,8,B8,165_025_12,22_294,45.7,45.7,1.82,1.91,,,,,,,,,,,,
Mar-33,8,C8,165_025_09,22_295 (3),33.46,33.46 x 5,1.83,2.16,,,,,,,,,,33.46,fine,
Mar-34,8,D8,165_016_12,22_296 (2),13.2,too high,1.82,2.06,,,,,,,,,,13.2,fine,
Mar-35,8,E8,165_025_23,22_297 (2),24.41,24.41 x 10,1.84,2.23,,,,,,,,,,24.41,fine,
Mar-36,8,F8,165_025_08,22_298 (3),34.48,34.48 x 5,1.83,2.17,,,,,,,,,,34.48,fine,
Mar-37,8,G8,165_025_10,22_299 (2),20.2,20.20 x 10,1.82,1.98,,,,,,,,,,20.2,fine,
Mar-38,8,H8,165_025_18,22_300 (3),12.24,12.24 x 5,1.83,2.12,,,,,,,,,,12.24,fine,
Mar-39,8,A9,165_016_14,22_301 (2),16.79,16.79 x 10,1.83,2.11,,,,,,,,,,16.79,fine,
Mar-42,8,B9,165_016_08,22_303 (2),12.07,12.07 x 10,1.82,2.09,,,,,,,,,,12.07,fine,
Mar-43,8,C9,165_025_06,22_304 (2),10.57,10.57 x 10,1.83,1.99,,,,,,,,,,10.57,fine,
Mar-44,8,D9,165_025_13,22_305 (2),11.97,11.97 x 10,1.82,2.09,,,,,,,,,,11.97,fine,
Mar-45,8,E9,165_016B_43,22_306 (2),11.03,11.03 x 10,1.83,2.08,,,,,,,,,,11.03,fine,
Mar-46,8,F9,165_025B_51,22_307 (2),81.91,8.191 x 10,1.83,2.04,,,,,,,,,,81.91,fine,
Mar-47,8,G9,165_16c_48,22_308 (2),15.24,15.24 x 10,1.84,2.22,,,,,,,,,,15.24,fine,
Mar-48,8,H9,165_16C_56,22_309 (2),13.09,13.09 x 10,1.83,2.22,,,,,,,,,,13.09,fine,
Mar-49,8,A10,165_16C_60,22_310 (2),14.14,14.14 x 10,1.82,2.08,,,,,,,,,,14.14,fine,
Mar-50,8,B10,165_16C_61,22_311 (2),15.6,15.60 x 10,1.81,1.92,,,,,,,,,,15.6,fine,
Mar-51,8,C10,165_25_22,22_312 (2),12.6,12.60 x 10,1.82,2.15,,,,,,,,,,12.6,fine,
Mar-52,8,D10,165_16C_45,22_313 (2),13.07,13.07 x 10,1.81,2.14,,,,,,,,,,13.07,fine,
Mar-53,8,E10,165_16_06,22_314 (2),13.02,13.02 x 10,1.82,2.04,,,,,,,,,,13.02,fine,
Mar-55,8,F10,165_025_26,22_316 (2),98.98,9.898 x 10,1.82,2.1,,,,,,,,,,98.98,fine,
Mar-57,8,G10,165_25_27,22_318 (3),11.53,11.53 x 5,1.78,1.73,,,,,,,,,,11.53,fine,
Mar-58,8,H10,165_16B_28,22_319 (2),11.4,11.40 x 10,1.81,1.98,,,,,,,,,,11.4,fine,
Mar-61,8,A11,165_25B_45,22_323 (2),90.57,9.057 x 10,1.74,1.55,,,,,,,,,,90.57,fine,
Mar-62,8,B11,165_25B_49,22_324 (2),99,9.9 x 10,1.82,2.19,,,,,,,,,,99,fine,
Mar-63,8,C11,165_25B_46,22_325 (2),80.49,8.049 x 10,1.81,2.07,,,,,,,,,,80.49,fine,
Mar-64,8,D11,165_25B_47,22_326 (2),15.66,15.66 x 10,1.83,2.2,,,,,,,,,,15.66,fine,
Mar-65,8,E11,165_25B_41,22_327 (3),13.92,13.92 x 5,1.81,2.12,,,,,,,,,,13.92,fine,
Mar-66,8,F11,165_25B_42,22_328 (2),12.17,12.17 x 10,1.81,2.04,,,,,,,,,,12.17,fine,
2-Apr,8,G11,165_26B_226,23_001,45.4,45.4,1.81,2.04,,,,,,,,,,7.2,fine,
3-Apr,8,H11,165_26B_230,23_002 (3),13.85,13.85 x 5,1.8,2.2,,,,,,,,,,13.85,fine,
4-Apr,8,A12,165_26B_227,23_003,33.7,33.7,1.77,1.96,,,,,,,,,,,fine,
5-Apr,8,B12,165_009B_203,23_004 (3),20.95,20.95 x 5,1.82,2.33,,,,,,,,,,10.3,fine,107.8
6-Apr,8,C12,165_26D_224,23_005 (2),12.6,12.6,1.8,2.04,,,,,,,,,,12.6,fine,
7-Apr,8,D12,165_009B_198,23_006 (3),18.62,18.62 x 5,1.8,2.12,,,,,,,,,,18.62,fine,
8-Apr,8,E12,165_009B_197,23_007 (3),15.72,15.72 x 5,1.79,2.28,,,,,,,,,,15.72,fine,80
9-Apr,8,F12,165_009_202,23_008 (3),19.68,19.68 x 5,1.78,1.92,,,,,,,,,,19.68,fine,
10-Apr,8,G12,165_009_198,23_009 (2),15.6,too high,1.82,2.28,,,,,,,,,,15.6,fine,
11-Apr,8,H12,165_26C_228,23_010 (2.1),12.5,too high,1.83,2.54,,,,,,,,,,12.5,fine,
